numero_item,descricao,tipo,marca,modelo,quantidade,unidade,valor_unitario,valor_total,fornecedor,cnpj_fornecedor,especificacoes,observacoes,raw_descricao
1,"Teclado usb, ABNT2, padrão",produto,Multilaser,Multilaser,33.0,UNID,13.28,438.24,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,"['ABNT2', 'padrão']",,"Descrição: Teclado usb, ABNT2, padrão"
2,"Mouse usb, 3 botões, 1000, DPI, padrão",produto,Multilaser,Multilaser,33.0,UNID,5.39,177.87,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,"['3 botões', '1000 DPI', 'padrão']",,"Descrição: Mouse usb, 3 botões, 1000, DPI, padrão"
3,Teclado e mouse sem fio,produto,Multilaser,Multilaser,33.0,UNID,74.3,2451.9,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,['Teclado e mouse sem fio'],,Descrição: Teclado e mouse sem fio
4,Suporte de refrigeração para notebook,produto,B-Max,B-Max,17.0,UNID,41.51,705.67,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,['Suporte de refrigeração para notebook'],,Descrição: Suporte de refrigeração para notebook ¶
5,"Cabo usb, A Macho Para Usb A Macho 2.0 1,80 Metros",produto,Knup,Knup,13.0,UNID,6.22,80.86,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,"['Cabo USB 2.0 1,80m', 'A Macho']",,"Descrição: Cabo usb, A Macho Para Usb A Macho 2.0 1,80 Metros"
6,Cabo HDMI de 2 metros,produto,Exbom,Exbom,17.0,UNID,10.37,176.29,J S LOCACAO E COMERCIO LTDA,53.064.613/0001-59,['Cabo HDMI 2m'],,Descrição: Cabo HDMI de 2 metros
7,Cabo HDMI de 3 metros,produto,Exbom,Exbom,33.0,UNID,15.77,520.41,,,"['comprimento: 3 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 3 metros
8,Cabo HDMI de 5 metros,produto,Exbom,Exbom,17.0,UNID,20.75,352.75,,,"['comprimento: 5 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 5 metros
9,Cabo HDMI de 10 metros,produto,Exbom,Exbom,17.0,UNID,24.9,423.3,,,"['comprimento: 10 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 10 metros
11,Cabo HDMI de 20 metros,produto,Exbom,Exbom,12.0,UNID,47.73,572.76,,,"['comprimento: 20 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 20 metros
12,Cabo HDMI de 30 metros,produto,Exbom,Exbom,10.0,UNID,66.41,664.1,,,"['comprimento: 30 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 30 metros
13,Cabo HDMI de 50 metros,produto,Exbom,Exbom,7.0,UNID,205.47,1438.29,,,"['comprimento: 50 metros', 'conector: HDMI', 'marca: Exbom', 'modelo: Exbom']",,Cabo HDMI de 50 metros
14,Cabo VGA 3 metros,produto,Exbom,Exbom,17.0,UNID,16.6,282.2,,,[],,Descrição: Cabo VGA 3 metros
15,Adaptador de HDMI para VGA,produto,Exbom,Exbom,3.0,UNID,12.45,37.35,,,[],,Descrição: Adaptador de HDMI para VGA
16,Bateria para BIOS Voltagem 3v,produto,Easy Top,Easy Top,17.0,UNID,3.6,61.2,,,[],,Descrição: Bateria para BIOS Voltagem 3v
17,Pilha AA,produto,Easy Top,Easy Top,33.0,UNID,3.44,113.52,,,[],,Descrição: Pilha AA
18,Pilha AAA,produto,Easy Top,Easy Top,33.0,UNID,3.44,113.52,,,[],,Descrição: Pilha AAA
19,Mouse PAD preto,produto,Isoprene,Isoprene,33.0,UNID,3.32,109.56,,,[],,Descrição: Mouse PAD preto
20,Fone de Ouvido Headphone,produto,Multilaser,Multilaser,27.0,UNID,56.03,1512.81,,,[],,Descrição: Fone de Ouvido Headphone
22,"Alicate de Crimpar com catraca 3 em 1, corta, decapa e crimpa",produto,Multilaser,Multilaser,7.0,UNID,39.43,276.01,,,[],,"Descrição: Alicate de Crimpar com catraca 3 em 1, corta, decapa e crimpa"
23,Cabo para internet cat5cx c/ 305 mt,produto,Multilaser,Multilaser,10.0,UNID,367.36,3673.6,,,[],,Descrição: Cabo para internet cat5cx c/ 305 mt
24,Conector rj45,produto,Forceline,Forceline,8.0,UNID,0.41,3.28,,,[],,Descrição: Conector rj45
