numero_item,descricao,tipo,marca,modelo,quantidade,unidade,valor_unitario,valor_total,fornecedor,cnpj_fornecedor,especificacoes,observacoes,raw_descricao
1,"NOTEBOOK, PROCESSADOR: NO MINIMO 15 13ª GERACAO, MEN DDR4/5 8GB / SSD 480NVME, RJ45 E WIFI, SISTEMA OPERACIONAL WINDOWS 10 PRO",produto,ASUS,x1504,8,UNIDADE,2880.0,23040.0,LICITAINFO LTDA,52.277.278/0001-04,[],,"NOTEBOOK, PROCESSADOR: NO MINIMO 15 13ª GERACAO, MEN DDR4/5 8GB / SSD 480NVME, RJ45 E WIFI, SISTEMA OPERACIONAL WINDOWS 10 PRO"
1,"NOBREAK 700VA, TECNOLOGIA SENOIDAL POR APROXIMACAO. ENTRADA BIVOLT / SAIDA 115V. BATERIA 12V INCLUSIVA. CONF. ORCAMENTO...",produto,CR ENERGIA,700BS,5,UNIDADE,432.87,2164.35,A FRENTE SOLUÇÕES INTEGRADAS LTDA,36.489.366/0001-13,[],,"NOBREAK 700VA, TECNOLOGIA SENOIDAL POR APROXIMACAO. ENTRADA BIVOLT / SAIDA 115V."
1,"SMARTPHONE 128GB 5G 6GB RAM 6,6 CAM TRIPLA + SELFIE 13MP DUAL CHIP",produto,Conforme Edital,Conforme Edital,13,UNIDADE,1100.0,14300.0,A FRENTE SOLUÇÕES INTEGRADAS LTDA,36.489.366/0001-13,[],,"SMARTPHONE 128GB 5G 6GB RAM 6,6 CAM TRIPLA + SELFIE 13MP DUAL CHIP"
1,"SUPORTE UNIVERSAL FIXO, INDICADO PARA TVS PLASMA/3D/LCD/LED COM PESO ATE 100KG E COMPATIVEIS PADRAO DE FIXACAO VESA 75X75, 100X100, CONFORME ORCAMENTO...",produto,MULTIVISÃO,FIXO,5,UNIDADE,26.6,133.0,HABITUS DIGITAL COMERCIAL LTDA,41.010.343/0001-14,[],,"SUPORTE UNIVERSAL FIXO, INDICADO PARA TVS PLASMA/3D/LCD/LED COM PESO ATE 100KG E COMPATIVEIS PADRAO DE FIXACAO VESA 75X75, 100X100, CONFORME ORCAMENTO..."
1,CAIXA CABO DE REDE 100% COBRE CAT 5 E (305 METROS) PADRAO FURUKAWA,produto,SOHO PLUS  CAT5E,SOHO PLUS  CAT5E,3,CAIXA,695.7,2087.1,CARVALHO ACESSORIOS PARA MOVEIS LTDA,49.704.499/0002-98,[],,CAIXA CABO DE REDE 100% COBRE CAT 5 E (305 METROS) PADRAO FURUKAWA
2,CONECTOR RJ 45 MACHO CAT 5E,produto,FORTREK,FORTREK FK 120E,50,UNIDADE,0.4,20.0,CARVALHO ACESSORIOS PARA MOVEIS LTDA,49.704.499/0002-98,[],,CONECTOR RJ 45 MACHO CAT 5E
1,"HD EXTERNO 1TB - INTERFACE USB 2.0 / 3.0; VELOCIDADE DE TRANSFERENCIA DE DADOS DE ATE 4,8 GBPS; TEMPERATURA EM FUNCIONAMENTO: 5°C A 35°C.",produto,SEAGATE,STGX1000400,18,UNIDADE,257.0,4626.0,,,[],,"HD EXTERNO 1TB - INTERFACE USB 2.0 / 3.0; VELOCIDADE DE TRANSFERENCIA DE DADOS DE ATE 4,8 GBPS; TEMPERATURA EM FUNCIONAMENTO: 5°C A 35°C."
2,"HD INTERNO DE ALTA PERFORMANCE 7200RPM ARMAZENAMENTO 2TB INTERFACE: SATA 6.0GB/S FORMATADO DE MEDIDA 3,5",produto,WESTERN DIGITAL,WD20EURX,18,UNIDADE,401.15,7220.7,,,[],,"HD INTERNO DE ALTA PERFORMANCE 7200RPM ARMAZENAMENTO 2TB INTERFACE: SATA 6.0GB/S FORMATADO DE MEDIDA 3,5"
3,HD SATA SSD 240 GB MSI/KINGSTON/WD,produto,FTX,FT240GB,90,UNIDADE,121.7,10953.0,,,[],,HD SATA SSD 240 GB MSI/KINGSTON/WD
1,"SWITCH 16 PORTAS 10/100/1000, PADROES E PROTOCOLOS IEEE 802.3I, IEEE 802.3U, IEEE 802.3AB, IEEE 802.3X ...",produto,TENDA,TEG1016D,18,UNIDADE,379.7,6834.6,ICONDATA EQUIPAMENTO DE INFORMATICA,61.430.508/0001-14,[],,"SWITCH 16 PORTAS 10/100/1000, PADROES E PROTOCOLOS IEEE 802.3I, IEEE 802.3U, IEEE 802.3AB, IEEE 802.3X ..."
